iterations	dist_function	distance	diff_hybrid	model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	time	dependent_parameters	
3	sharp_wc_2.0_b_50	 1.50e-02	 1.73e-04	1D_2_4b	-0.96593432	4	1.2049971	-0.38849375	1.4	1	0.50200247	0.54170298	0.99234656	-0.96593432	0.099603078	0.11236172	3.9001019	0.99376818	-0.67319289	-0.87215518	-0.83129271	0.040334535	0.1058514	0.095307688	0.037324889	0.41888878	1.752002	1.8163844	-5.6000195	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 2.55e-02	 7.17e-04	1D_2_4b	-0.96720352	4	1.0640907	-0.33847829	1.35	1	0.48274398	0.52807488	0.9486137	-0.96720352	0.097818693	0.1273125	3.8962322	0.98822765	-0.67046771	-0.91445001	-0.83859534	0.039761465	0.11892275	0.099172597	0.038759694	0.41537589	1.7198019	1.8396666	-5.2942049	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
4	sharp_wc_2.0_b_50	 3.77e-02	 2.18e-05	1D_2_4b	-0.97012508	4	0.90697903	-0.30329399	1.3	1	0.46894825	0.51628562	0.92855542	-0.97012508	0.095670792	0.15316303	3.8873787	0.97972911	-0.66547833	-0.98210581	-0.86026886	0.039073916	0.14098276	0.1077355	0.041625546	0.40853888	1.6675133	1.8711177	-5.0576902	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
4	sharp_wc_2.0_b_50	 5.02e-02	 4.03e-05	1D_2_4b	-0.97519266	4	0.75112903	-0.27619832	1.25	1	0.45876302	0.5053783	0.91336141	-0.97519266	0.093133031	0.19223487	3.8714577	0.96815373	-0.65785357	-1.0703021	-0.9001011	0.038259249	0.17305528	0.12285009	0.045898521	0.39827065	1.596847	1.9114454	-4.8618307	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
3	sharp_wc_2.0_b_50	 6.19e-02	 1.35e-04	1D_2_4b	-0.98258488	4	0.6070822	-0.25391644	1.2	1	0.45120436	0.49485581	0.90099862	-0.98258488	0.090151067	0.24784337	3.845532	0.95331229	-0.64715909	-1.1739763	-0.96221166	0.037294047	0.21617559	0.14693673	0.051511661	0.38451706	1.5107911	1.9604702	-4.6929009	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
3	sharp_wc_2.0_b_50	 7.16e-02	 1.99e-04	1D_2_4b	-0.99131854	4	0.48783811	-0.23445411	1.15	1	0.44581891	0.48444254	0.89059233	-0.99131854	0.086826188	0.31830014	3.8092466	0.93622661	-0.63411933	-1.2798678	-1.0424216	0.036201914	0.26680394	0.1796805	0.057787487	0.36868956	1.4209447	2.0127866	-4.5403476	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
3	sharp_wc_2.0_b_50	 7.94e-02	 8.77e-05	1D_2_4b	-0.99985052	4	0.39837115	-0.21715793	1.1	1	0.44245767	0.47409513	0.88149552	-0.99985052	0.083399266	0.3961242	3.7664833	0.91869624	-0.62046529	-1.3746387	-1.1283396	0.035054276	0.31793919	0.21688395	0.063805297	0.35297326	1.340578	2.0601845	-4.3981452	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
2	sharp_wc_2.0_b_50	 8.55e-02	 2.94e-04	1D_2_4b	-1.0070908	4	0.33590196	-0.20240489	1.05	1	0.44145301	0.46414107	0.87302325	-1.0070908	0.080113162	0.47211419	3.7235896	0.90214813	-0.60781129	-1.4526296	-1.2070352	0.0339307	0.36346465	0.25274044	0.069001957	0.33889952	1.2757049	2.0970975	-4.2658193	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1


iterations	dist_function	distance	diff_hybrid	model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	time	dependent_parameters	
12	sharp_wc_2.0_b_50	 1.20e-04	 5.99e-08	1D_2_4b	-0.96610515	4	1.1436462	-1.1436462	2	1	0.60937513	0.60937513	1	-0.96610515	0.10367868	0.099848786	3.9001512	1	-0.6746969	-0.84603583	-0.84603583	0.041660879	0.094712631	0.094712631	0.038059368	0.41830532	1.7731241	1.7731241	-9.8972723	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
11	sharp_wc_2.0_b_50	 1.30e-04	 8.63e-08	1D_2_4b	-0.96609732	4	1.1919334	-1.0924652	1.95	1	0.60884897	0.60908755	1.0000066	-0.96609732	0.10367448	0.099834521	3.9001471	1.0000092	-0.67470003	-0.84591623	-0.84601061	0.04165944	0.094700124	0.0947172	0.038049885	0.41832203	1.7732347	1.7731594	-9.5921486	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
7	sharp_wc_2.0_b_50	 1.60e-04	 5.00e-08	1D_2_4b	-0.96606626	4	1.2368501	-1.0387613	1.9	1	0.60743996	0.60803467	1.0000123	-0.96606626	0.1036481	0.09982121	3.9001607	1.000009	-0.67470891	-0.84568633	-0.84581498	0.041650658	0.094689251	0.094707548	0.038021607	0.41837166	1.7734429	1.7733891	-9.2761279	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-29@16:41	U=U_1;mu=mu_1;t=t_1
